Couchbase Server pre-7.0,Couchbase Exporter,Couchbase Server 7.0+
cbas_disk_used,cbcbas_disk_used,cbas_disk_used_bytes_total
failed_at_parser_records_count_total,N/A,cbas_failed_to_parse_records_count
cbas_gc_count,cbcbas_gc_count,cbas_gc_count_total
cbas_gc_time,cbcbas_gc_time,cbas_gc_time_milliseconds_total
cbas_heap_used,cbcbas_heap_used,cbas_heap_memory_used_bytes
incoming_records_count,N/A,cbas_incoming_records_count
cbas_io_reads,cbcbas_io_reads,cbas_io_reads_total
cbas_io_writes,cbcbas_io_writes,cbas_io_writes_total
cbas_system_load_average,cbcbas_system_load_avg,cbas_system_load_average
cbas_thread_count,cbcbas_thread_count,cbas_thread_count
