Couchbase Server pre-7.0,Couchbase Exporter,Couchbase Server 7.0+
index_memory_quota,cbindex_memory_quota,index_memory_quota
index_memory_used,cbindex_memory_used,index_memory_used_total
index_ram_percent,cbindex_ram_percent,(index_memory_used_total / ignoring(name) index_memory_quota) * 100
index_remaining_ram,cbindex_remaining_ram,index_memory_quota - ignoring(name) index_memory_used_total
avg_scan_latency,cbindex_avg_scan_latency,index_avg_scan_latency
cache_hit_percent,cbindex_cache_hit_percent,(index_cache_hits * 100) / (index_cache_hits + index_cache_misses)
cache_hits,cbindex_cache_hits,index_cache_hits
cache_misses,cbindex_cache_misses,index_cache_misses
data_size,cbindex_data_size,index_data_size
data_size_on_disk,N/A,index_data_size_on_disk
disk_size,cbindex_disk_size,index_disk_size
frag_percent,cbindex_frag_percent,index_frag_percent
items_count,cbindex_items_count,index_items_count
log_space_on_disk,N/A,index_log_space_on_disk
memory_used,N/A,index_memory_used
num_docs_indexed,cbindex_num_docs_indexed,index_num_docs_indexed
num_docs_pending,N/A,index_num_docs_pending
num_docs_queued,N/A,index_num_docs_queued
num_docs_pending+queued,cbindex_num_docs_pending_queued,(index_num_docs_pending + index_num_docs_queued)
num_requests,cbindex_num_requests,index_num_requests
num_rows_returned,cbindex_num_rows_returned,index_num_rows_returned
raw_data_size,N/A,index_raw_data_size
recs_in_mem,N/A,index_recs_in_mem
recs_on_disk,N/A,index_recs_on_disk
index_resident_percent,cbindex_resident_percent,index_resident_percent
scan_bytes_read,N/A,index_scan_bytes_read
total_scan_duration,N/A,index_total_scan_duration
