Couchbase Server pre-7.0,Couchbase Exporter,Couchbase Server 7.0+
query_active_requests,cbquery_active_requests,n1ql_active_requests
query_avg_req_time,cbquery_avg_req_time,n1ql_request_time / n1ql_requests
query_avg_response_size,cbquery_avg_response_size,n1ql_result_size / n1ql_requests
query_avg_result_count,cbquery_avg_result_count,n1ql_result_count / n1ql_requests
query_avg_svc_time,cbquery_avg_svc_time,n1ql_service_time / n1ql_requests
query_errors,cbquery_errors,n1ql_errors
query_invalid_requests,cbquery_invalid_requests,n1ql_invalid_requests
query_queued_requests,cbquery_queued_requests,n1ql_queued_requests
query_request_time,cbquery_request_time,n1ql_request_time
query_requests,cbquery_requests,n1ql_requests
query_requests_1000ms,cbquery_requests_1000ms,n1ql_requests_1000ms
query_requests_250ms,cbquery_requests_250ms,n1ql_requests_250ms
query_requests_5000ms,cbquery_requests_5000ms,n1ql_requests_5000ms
query_requests_500ms,cbquery_requests_500ms,n1ql_requests_500ms
query_result_count,cbquery_result_count,n1ql_result_count
query_result_size,cbquery_result_size,n1ql_result_size
query_selects,cbquery_selects,n1ql_selects
query_service_time,cbquery_service_time,n1ql_service_time
query_warnings,cbquery_warnings,n1ql_warnings
