Couchbase Server pre-7.0,Couchbase Server 7.0+
add_docs_cas_changed,xdcr_add_docs_cas_changed_total
add_docs_written,xdcr_add_docs_written_total
changes_left,xdcr_changes_left_total
data_merged,xdcr_data_merged_bytes
data_replicated,xdcr_data_replicated_bytes
datapool_failed_gets,xdcr_datapool_failed_gets_total
dcp_datach_length,xdcr_dcp_datach_length_total
dcp_dispatch_time,xdcr_dcp_dispatch_time_seconds
deletion_docs_cas_changed,xdcr_deletion_docs_cas_changed_total
deletion_docs_written,xdcr_deletion_docs_written_total
deletion_failed_cr_source,xdcr_deletion_failed_cr_source_total
deletion_filtered,xdcr_deletion_filtered_total
deletion_received_from_dcp,xdcr_deletion_received_from_dcp_total
deletion_target_docs_skipped,xdcr_deletion_target_docs_skipped_total
docs_checked,xdcr_docs_checked_total
docs_cloned,xdcr_docs_cloned_total
docs_failed_cr_source,xdcr_docs_failed_cr_source_total
docs_filtered,xdcr_docs_filtered_total
docs_merge_cas_changed,xdcr_docs_merge_cas_changed_total
docs_merged,xdcr_docs_merged_total
docs_opt_repd,xdcr_docs_opt_repd_total
docs_processed,xdcr_docs_processed_total
docs_received_from_dcp,xdcr_docs_received_from_dcp
docs_rep_queue,xdcr_docs_rep_queue_total
docs_unable_to_filter,xdcr_docs_unable_to_filter_total
docs_written,xdcr_docs_written_total
expiry_docs_merge_failed,xdcr_expiry_docs_merge_failed_total
expiry_docs_merged,xdcr_expiry_docs_merged_total
expiry_docs_written,xdcr_expiry_docs_written_total
expiry_failed_cr_source,xdcr_expiry_failed_cr_source_total
expiry_filtered,xdcr_expiry_filtered_total
expiry_merge_cas_changed,xdcr_expiry_merge_cas_changed_total
expiry_received_from_dcp,xdcr_expiry_received_from_dcp_total
expiry_stripped,xdcr_expiry_stripped_total
expiry_target_docs_skipped,xdcr_expiry_target_docs_skipped_total
num_checkpoints,xdcr_num_checkpoints_total
num_failedckpts,xdcr_num_failedckpts_total
resp_wait_time,xdcr_resp_wait_time_seconds
set_docs_cas_changed,xdcr_set_docs_cas_changed_total
set_docs_written,xdcr_set_docs_written_total
set_failed_cr_source,xdcr_set_failed_cr_source_total
set_filtered,xdcr_set_filtered_total
set_received_from_dcp,xdcr_set_received_from_dcp_total
set_target_docs_skipped,xdcr_set_target_docs_skipped_total
size_rep_queue,xdcr_size_rep_queue_bytes
target_docs_skipped,xdcr_target_docs_skipped_total
throttle_latency,xdcr_throttle_latency_seconds
throughput_throttle_latency,xdcr_throughput_throttle_latency_seconds
time_committing,xdcr_time_committing_seconds
wtavg_docs_latency,xdcr_wtavg_docs_latency_seconds
wtavg_get_doc_latency,xdcr_wtavg_get_doc_latency_seconds
wtavg_merge_latency,xdcr_wtavg_merge_latency_seconds
wtavg_meta_latency,xdcr_wtavg_meta_latency_seconds
